issue_type,location_type,duration_days,description,priority
drainage,main_road,3,"Drain clogged, water overflowing onto road",high
streetlight,highway,2,Pole lamp broken and leaning. not urgent,high
streetlight,highway,5,"Streetlight not working at night, area dark",high
streetlight,highway,1,"Streetlight not working at night, area dark",high
streetlight,alley,11,"Streetlight intermittent, safety concern. causing accidents",high
streetlight,highway,0,Light out on the main road intersection. causing accidents,high
pothole,residential,30,Multiple potholes across the lane. immediate attention needed,high
streetlight,residential,10,Light out on the main road intersection. please fix soon,medium
drainage,alley,1,Drainage blocked with garbage and leaves,low
streetlight,alley,0,"Streetlight intermittent, safety concern",low
drainage,alley,11,Sewage backup overflowing onto street,high
garbage,alley,8,"Garbage dumped near sidewalk, attracting animals",medium
drainage,highway,9,Standing water near drain after rain,high
streetlight,highway,10,"Flickering streetlight, sparks visible",high
drainage,main_road,0,"Drain clogged, water overflowing onto road. needs quick fix",high
pothole,alley,3,"Pothole filled with water, hidden hazard",medium
garbage,alley,0,Pile of household waste blocking pedestrian path. urgent,high
pothole,alley,13,Deep pothole causing vibration to vehicles. needs quick fix causing accidents,high
pothole,alley,6,Deep pothole causing vibration to vehicles,medium
streetlight,alley,2,"Streetlight intermittent, safety concern",low
garbage,alley,0,"Garbage dumped near sidewalk, attracting animals",low
streetlight,main_road,2,Pole lamp broken and leaning,low
drainage,residential,2,Drainage blocked with garbage and leaves. please fix soon,low
streetlight,residential,9,"Streetlight intermittent, safety concern. hazardous",high
drainage,main_road,7,"Drain clogged, water overflowing onto road",high
garbage,alley,15,"Overflowing garbage bin, foul smell. not urgent",high
pothole,alley,4,"Pothole filled with water, hidden hazard. low priority",medium
garbage,alley,0,Illegal dumping near drainage,low
drainage,alley,8,"Open drainage cover, dangerous for pedestrians. needs quick fix low priority",high
garbage,main_road,10,Pile of household waste blocking pedestrian path,high
pothole,alley,5,Multiple potholes across the lane. not urgent,medium
drainage,alley,10,"Open drainage cover, dangerous for pedestrians. not urgent",high
garbage,residential,4,Scattered trash on street after collection missed,medium
garbage,residential,5,"Overflowing garbage bin, foul smell",high
pothole,residential,3,Deep pothole causing vibration to vehicles,medium
pothole,highway,0,Deep pothole causing vibration to vehicles. urgent,low
drainage,main_road,0,Drainage blocked with garbage and leaves,low
drainage,alley,0,Standing water near drain after rain,low
pothole,main_road,7,Small pothole near the curb. urgent,medium
garbage,alley,2,"Garbage dumped near sidewalk, attracting animals. causing accidents please fix soon",high
pothole,highway,4,Small pothole near the curb,medium
pothole,residential,16,"Large pothole on the road, car damage likely",high
pothole,alley,2,Small pothole near the curb,low
drainage,alley,3,"Open drainage cover, dangerous for pedestrians",medium
streetlight,alley,9,Light out on the main road intersection,medium
streetlight,residential,1,"Flickering streetlight, sparks visible. needs quick fix",high
drainage,alley,0,Sewage backup overflowing onto street,high
pothole,alley,2,Small pothole near the curb. causing accidents,high
streetlight,residential,1,Pole lamp broken and leaning,low
streetlight,highway,18,"Streetlight intermittent, safety concern. not urgent",high
garbage,main_road,11,Pile of household waste blocking pedestrian path,high
pothole,highway,7,Small pothole near the curb. causing accidents,high
streetlight,alley,14,"Streetlight intermittent, safety concern",high
streetlight,residential,11,Light out on the main road intersection. please fix soon,high
drainage,residential,1,"Drain clogged, water overflowing onto road",high
drainage,main_road,15,"Open drainage cover, dangerous for pedestrians",high
streetlight,highway,5,"Flickering streetlight, sparks visible. low priority",high
pothole,main_road,11,Small pothole near the curb. urgent,high
drainage,alley,15,"Drain clogged, water overflowing onto road",high
garbage,alley,2,Pile of household waste blocking pedestrian path. urgent,high
garbage,highway,0,"Overflowing garbage bin, foul smell. urgent",high
drainage,main_road,1,Sewage backup overflowing onto street. causing accidents,high
pothole,alley,3,Multiple potholes across the lane,medium
garbage,alley,11,Pile of household waste blocking pedestrian path. not urgent,high
pothole,highway,13,Deep pothole causing vibration to vehicles,high
pothole,main_road,0,Deep pothole causing vibration to vehicles. immediate attention needed,low
garbage,alley,5,Illegal dumping near drainage. please fix soon,medium
streetlight,alley,3,"Streetlight not working at night, area dark",medium
drainage,alley,1,"Drain clogged, water overflowing onto road",high
streetlight,main_road,0,"Streetlight not working at night, area dark. please fix soon",low
streetlight,alley,2,"Streetlight not working at night, area dark",low
garbage,residential,20,Illegal dumping near drainage,high
pothole,alley,2,Small pothole near the curb. causing accidents,high
pothole,residential,5,Multiple potholes across the lane. hazardous,high
garbage,residential,8,"Garbage dumped near sidewalk, attracting animals",medium
garbage,highway,3,Pile of household waste blocking pedestrian path. low priority,high
pothole,main_road,24,Small pothole near the curb,high
garbage,highway,22,Pile of household waste blocking pedestrian path. please fix soon,high
garbage,highway,2,Illegal dumping near drainage. low priority,low
garbage,alley,4,"Overflowing garbage bin, foul smell. hazardous",high
garbage,alley,2,"Overflowing garbage bin, foul smell. causing accidents",high
streetlight,highway,2,"Streetlight intermittent, safety concern",high
pothole,alley,0,"Large pothole on the road, car damage likely",low
streetlight,residential,6,Light out on the main road intersection,medium
drainage,alley,4,Sewage backup overflowing onto street. causing accidents,high
drainage,highway,0,Standing water near drain after rain,low
streetlight,residential,2,"Streetlight not working at night, area dark. please fix soon",low
garbage,main_road,16,Pile of household waste blocking pedestrian path,high
garbage,alley,1,Scattered trash on street after collection missed,low
drainage,alley,1,"Open drainage cover, dangerous for pedestrians",low
streetlight,alley,4,Light out on the main road intersection. hazardous,high
pothole,main_road,29,Multiple potholes across the lane,high
pothole,alley,1,"Large pothole on the road, car damage likely",low
drainage,alley,7,"Open drainage cover, dangerous for pedestrians. please fix soon",high
garbage,highway,10,Scattered trash on street after collection missed,medium
garbage,residential,1,Pile of household waste blocking pedestrian path. immediate attention needed,high
drainage,residential,9,"Open drainage cover, dangerous for pedestrians",high
pothole,highway,3,"Pothole filled with water, hidden hazard. please fix soon",medium
pothole,residential,7,"Large pothole on the road, car damage likely. low priority",medium
drainage,alley,7,Sewage backup overflowing onto street,high
drainage,highway,5,Sewage backup overflowing onto street,high
drainage,alley,0,Sewage backup overflowing onto street. needs quick fix,high
garbage,residential,12,"Overflowing garbage bin, foul smell",high
streetlight,main_road,2,"Streetlight not working at night, area dark",low
streetlight,alley,1,Pole lamp broken and leaning,low
garbage,alley,0,"Overflowing garbage bin, foul smell. low priority",high
streetlight,highway,6,Light out on the main road intersection. urgent,high
garbage,residential,7,"Garbage dumped near sidewalk, attracting animals",medium
drainage,residential,0,"Open drainage cover, dangerous for pedestrians",low
pothole,residential,5,"Pothole filled with water, hidden hazard. low priority",medium
pothole,residential,1,Small pothole near the curb,low
drainage,residential,7,Sewage backup overflowing onto street,high
drainage,residential,1,Drainage blocked with garbage and leaves,low
streetlight,highway,8,Light out on the main road intersection. causing accidents,high
garbage,residential,3,"Overflowing garbage bin, foul smell. immediate attention needed",high
garbage,residential,19,Scattered trash on street after collection missed,high
streetlight,highway,1,"Flickering streetlight, sparks visible",high
streetlight,main_road,2,"Streetlight not working at night, area dark",low
streetlight,alley,0,"Streetlight not working at night, area dark. urgent",low
garbage,highway,18,"Overflowing garbage bin, foul smell. hazardous",high
streetlight,alley,14,"Streetlight intermittent, safety concern",high
garbage,highway,2,Pile of household waste blocking pedestrian path,high
streetlight,highway,7,Pole lamp broken and leaning. needs quick fix,high
streetlight,highway,11,Pole lamp broken and leaning,high
streetlight,highway,5,Light out on the main road intersection. immediate attention needed,high
garbage,highway,5,"Garbage dumped near sidewalk, attracting animals",medium
pothole,highway,1,Small pothole near the curb. hazardous,high
drainage,highway,0,Sewage backup overflowing onto street. causing accidents,high
drainage,residential,15,"Open drainage cover, dangerous for pedestrians",high
streetlight,main_road,16,"Flickering streetlight, sparks visible",high
pothole,highway,7,Deep pothole causing vibration to vehicles. causing accidents,high
pothole,main_road,2,Small pothole near the curb. not urgent,low
pothole,alley,3,"Pothole filled with water, hidden hazard",medium
pothole,alley,9,Multiple potholes across the lane. urgent,medium
streetlight,alley,15,"Streetlight not working at night, area dark. needs quick fix",medium
garbage,highway,15,Pile of household waste blocking pedestrian path,high
pothole,residential,10,Multiple potholes across the lane. hazardous,high
streetlight,alley,7,"Streetlight intermittent, safety concern",medium
garbage,highway,0,"Overflowing garbage bin, foul smell",high
drainage,alley,1,Drainage blocked with garbage and leaves,low
garbage,alley,16,Pile of household waste blocking pedestrian path,high
streetlight,residential,6,Pole lamp broken and leaning,medium
garbage,highway,0,"Overflowing garbage bin, foul smell. immediate attention needed",high
streetlight,main_road,0,"Streetlight intermittent, safety concern. low priority",low
garbage,residential,7,Pile of household waste blocking pedestrian path,high
streetlight,residential,0,Pole lamp broken and leaning. causing accidents,high
garbage,main_road,1,"Overflowing garbage bin, foul smell. low priority please fix soon",high
drainage,alley,5,Sewage backup overflowing onto street,high
pothole,residential,8,"Large pothole on the road, car damage likely. please fix soon",medium
streetlight,highway,7,"Flickering streetlight, sparks visible",high
garbage,highway,1,"Garbage dumped near sidewalk, attracting animals",low
pothole,main_road,8,"Pothole filled with water, hidden hazard",high
streetlight,residential,1,Pole lamp broken and leaning,low
pothole,highway,2,Deep pothole causing vibration to vehicles. urgent,low
streetlight,alley,9,Light out on the main road intersection,medium
streetlight,main_road,7,"Streetlight intermittent, safety concern. not urgent needs quick fix",medium
streetlight,highway,13,"Flickering streetlight, sparks visible. urgent please fix soon",high
drainage,main_road,7,Standing water near drain after rain. immediate attention needed not urgent,high
drainage,main_road,5,Drainage blocked with garbage and leaves,high
streetlight,highway,0,Light out on the main road intersection. urgent,high
garbage,highway,3,Scattered trash on street after collection missed,medium
garbage,residential,2,"Overflowing garbage bin, foul smell",high
drainage,alley,1,Standing water near drain after rain. immediate attention needed,low
garbage,highway,25,Pile of household waste blocking pedestrian path,high
drainage,residential,3,"Open drainage cover, dangerous for pedestrians. immediate attention needed",medium
drainage,residential,15,Standing water near drain after rain,high
drainage,main_road,6,"Drain clogged, water overflowing onto road. causing accidents",high
drainage,highway,11,"Open drainage cover, dangerous for pedestrians",high
garbage,alley,4,Illegal dumping near drainage,medium
streetlight,residential,6,"Flickering streetlight, sparks visible",high
streetlight,residential,4,"Streetlight intermittent, safety concern. immediate attention needed",medium
garbage,highway,1,"Overflowing garbage bin, foul smell. please fix soon immediate attention needed",high
garbage,alley,8,Illegal dumping near drainage,medium
pothole,alley,2,Multiple potholes across the lane,low
garbage,main_road,0,"Overflowing garbage bin, foul smell",high
streetlight,highway,7,"Streetlight intermittent, safety concern. needs quick fix",high
garbage,main_road,1,Scattered trash on street after collection missed. please fix soon,low
streetlight,highway,19,Pole lamp broken and leaning. immediate attention needed,high
garbage,residential,21,Scattered trash on street after collection missed,high
drainage,residential,17,"Drain clogged, water overflowing onto road. low priority",high
streetlight,alley,3,"Flickering streetlight, sparks visible",high
streetlight,alley,0,Pole lamp broken and leaning,low
pothole,alley,18,Multiple potholes across the lane. low priority,high
drainage,residential,3,Drainage blocked with garbage and leaves. hazardous,high
streetlight,highway,23,"Streetlight intermittent, safety concern",high
pothole,residential,23,Multiple potholes across the lane. not urgent,high
drainage,main_road,13,Drainage blocked with garbage and leaves. low priority,high
drainage,alley,2,Sewage backup overflowing onto street. needs quick fix,high
drainage,residential,3,Drainage blocked with garbage and leaves,medium
garbage,alley,13,Scattered trash on street after collection missed,high
garbage,main_road,2,"Garbage dumped near sidewalk, attracting animals. please fix soon",low
pothole,alley,1,Small pothole near the curb. immediate attention needed,low
streetlight,highway,5,"Flickering streetlight, sparks visible. hazardous",high
pothole,main_road,19,"Pothole filled with water, hidden hazard",high
garbage,highway,8,Pile of household waste blocking pedestrian path,high
pothole,residential,5,Deep pothole causing vibration to vehicles. immediate attention needed,medium
streetlight,main_road,0,"Flickering streetlight, sparks visible. needs quick fix",high
drainage,alley,6,Drainage blocked with garbage and leaves,high
pothole,residential,32,Deep pothole causing vibration to vehicles,medium
garbage,highway,1,Scattered trash on street after collection missed. immediate attention needed not urgent,low
garbage,highway,5,"Overflowing garbage bin, foul smell",high
pothole,main_road,14,Deep pothole causing vibration to vehicles. urgent,high
drainage,alley,9,"Open drainage cover, dangerous for pedestrians. low priority",high
pothole,highway,8,"Pothole filled with water, hidden hazard. not urgent",high
streetlight,residential,8,"Streetlight not working at night, area dark. immediate attention needed",medium
pothole,residential,3,Deep pothole causing vibration to vehicles. low priority,medium
drainage,alley,2,Drainage blocked with garbage and leaves,low
pothole,alley,11,"Large pothole on the road, car damage likely. urgent",high
pothole,residential,11,Small pothole near the curb,high
garbage,residential,14,"Overflowing garbage bin, foul smell",high
streetlight,highway,17,Pole lamp broken and leaning. low priority,high
garbage,alley,5,Pile of household waste blocking pedestrian path. hazardous,high
garbage,residential,4,Illegal dumping near drainage. immediate attention needed,medium
pothole,alley,11,Multiple potholes across the lane,high
streetlight,residential,7,"Streetlight not working at night, area dark. please fix soon",medium
garbage,main_road,8,Pile of household waste blocking pedestrian path. urgent,high
streetlight,alley,11,Pole lamp broken and leaning,high
pothole,highway,15,"Pothole filled with water, hidden hazard. hazardous",high
drainage,alley,2,"Drain clogged, water overflowing onto road. causing accidents",high
streetlight,residential,3,Light out on the main road intersection. hazardous,high
garbage,residential,0,Scattered trash on street after collection missed. hazardous,high
streetlight,alley,6,Pole lamp broken and leaning,medium
pothole,highway,0,Deep pothole causing vibration to vehicles,low
pothole,residential,4,Small pothole near the curb,medium
streetlight,alley,5,"Flickering streetlight, sparks visible. immediate attention needed",high
garbage,highway,2,Scattered trash on street after collection missed,low
streetlight,residential,6,"Flickering streetlight, sparks visible",high
drainage,residential,0,Sewage backup overflowing onto street. causing accidents,high
drainage,alley,0,"Drain clogged, water overflowing onto road. low priority",high
drainage,highway,12,"Drain clogged, water overflowing onto road. needs quick fix",high
garbage,highway,3,"Garbage dumped near sidewalk, attracting animals",medium
garbage,alley,0,Illegal dumping near drainage. hazardous,high
drainage,alley,5,Sewage backup overflowing onto street. immediate attention needed,high
drainage,residential,10,"Open drainage cover, dangerous for pedestrians. causing accidents",high
streetlight,highway,1,Pole lamp broken and leaning. please fix soon please fix soon,high
pothole,main_road,6,Multiple potholes across the lane,medium
streetlight,highway,0,"Streetlight not working at night, area dark. please fix soon",high
garbage,highway,0,Pile of household waste blocking pedestrian path,high
streetlight,alley,5,"Flickering streetlight, sparks visible",high
streetlight,alley,5,"Streetlight not working at night, area dark",medium
garbage,alley,7,Pile of household waste blocking pedestrian path. hazardous,high
streetlight,residential,9,Light out on the main road intersection. low priority,medium
pothole,residential,26,Deep pothole causing vibration to vehicles,high
drainage,main_road,5,"Drain clogged, water overflowing onto road. not urgent",high
garbage,main_road,2,"Garbage dumped near sidewalk, attracting animals",low
streetlight,main_road,11,"Flickering streetlight, sparks visible",high
garbage,residential,2,Pile of household waste blocking pedestrian path. not urgent,high
drainage,main_road,4,Sewage backup overflowing onto street. urgent,high
garbage,residential,0,Illegal dumping near drainage. immediate attention needed,low
streetlight,residential,0,Light out on the main road intersection. not urgent causing accidents,high
streetlight,residential,23,"Streetlight not working at night, area dark. needs quick fix",medium
streetlight,highway,12,"Flickering streetlight, sparks visible",high
streetlight,residential,8,"Flickering streetlight, sparks visible. not urgent",high
pothole,highway,3,Deep pothole causing vibration to vehicles,medium
garbage,main_road,1,Illegal dumping near drainage. low priority,low
drainage,alley,1,Sewage backup overflowing onto street,high
streetlight,alley,2,"Streetlight intermittent, safety concern. urgent",low
pothole,alley,5,Multiple potholes across the lane. urgent,medium
streetlight,main_road,8,"Streetlight not working at night, area dark",medium
garbage,main_road,7,"Garbage dumped near sidewalk, attracting animals. immediate attention needed",high
garbage,residential,2,Pile of household waste blocking pedestrian path. causing accidents,high
garbage,highway,21,"Garbage dumped near sidewalk, attracting animals",high
garbage,alley,9,Scattered trash on street after collection missed,medium
streetlight,residential,5,Pole lamp broken and leaning,medium
drainage,residential,6,Sewage backup overflowing onto street. please fix soon,high
drainage,alley,3,Standing water near drain after rain,medium
streetlight,residential,1,"Streetlight not working at night, area dark",low
garbage,residential,3,"Garbage dumped near sidewalk, attracting animals. please fix soon",medium
pothole,residential,9,"Pothole filled with water, hidden hazard",medium
drainage,main_road,0,Sewage backup overflowing onto street. please fix soon causing accidents,high
drainage,highway,0,Sewage backup overflowing onto street. causing accidents not urgent,high
streetlight,alley,0,"Streetlight not working at night, area dark. hazardous",high
garbage,alley,0,Pile of household waste blocking pedestrian path,high
streetlight,residential,13,Pole lamp broken and leaning,high
pothole,main_road,8,Multiple potholes across the lane,high
pothole,main_road,4,"Pothole filled with water, hidden hazard",medium
pothole,alley,0,"Pothole filled with water, hidden hazard. please fix soon",low
pothole,residential,4,Multiple potholes across the lane,medium
streetlight,residential,4,Light out on the main road intersection,medium
garbage,main_road,1,Illegal dumping near drainage,low
pothole,residential,3,Deep pothole causing vibration to vehicles,medium
drainage,highway,3,Standing water near drain after rain,medium
drainage,main_road,6,Sewage backup overflowing onto street,high
garbage,residential,7,"Overflowing garbage bin, foul smell. hazardous",high
garbage,residential,0,"Garbage dumped near sidewalk, attracting animals. not urgent",low
streetlight,residential,3,Pole lamp broken and leaning,medium
streetlight,residential,6,"Flickering streetlight, sparks visible. immediate attention needed",high
drainage,alley,4,Sewage backup overflowing onto street,high
streetlight,highway,13,Pole lamp broken and leaning. causing accidents,high
drainage,alley,7,"Open drainage cover, dangerous for pedestrians",high
streetlight,alley,1,"Streetlight intermittent, safety concern",low
drainage,main_road,0,Sewage backup overflowing onto street. needs quick fix,high
streetlight,highway,7,"Streetlight intermittent, safety concern. causing accidents",high
drainage,main_road,0,Standing water near drain after rain,low
drainage,alley,6,"Drain clogged, water overflowing onto road",high
pothole,alley,19,Deep pothole causing vibration to vehicles,high
pothole,alley,5,Small pothole near the curb,medium
pothole,main_road,3,Multiple potholes across the lane. not urgent,medium
pothole,highway,7,"Large pothole on the road, car damage likely",medium
streetlight,alley,4,"Flickering streetlight, sparks visible",high
garbage,residential,5,Pile of household waste blocking pedestrian path,high
garbage,alley,19,"Overflowing garbage bin, foul smell",high
drainage,residential,3,"Drain clogged, water overflowing onto road. not urgent",high
drainage,highway,22,"Drain clogged, water overflowing onto road",high
garbage,alley,16,"Garbage dumped near sidewalk, attracting animals. low priority",high
drainage,highway,1,"Drain clogged, water overflowing onto road",high
pothole,main_road,0,Deep pothole causing vibration to vehicles. urgent,low
pothole,main_road,0,"Large pothole on the road, car damage likely",low
drainage,highway,0,"Open drainage cover, dangerous for pedestrians",low
streetlight,residential,0,"Flickering streetlight, sparks visible. hazardous",high
drainage,alley,8,Standing water near drain after rain. hazardous,high
garbage,alley,0,"Overflowing garbage bin, foul smell",high
garbage,residential,2,Pile of household waste blocking pedestrian path,high
drainage,alley,13,"Open drainage cover, dangerous for pedestrians",high
drainage,alley,0,"Drain clogged, water overflowing onto road",high
drainage,alley,11,"Open drainage cover, dangerous for pedestrians. low priority",high
garbage,residential,2,"Overflowing garbage bin, foul smell",high
pothole,residential,0,"Pothole filled with water, hidden hazard",low
pothole,main_road,8,Multiple potholes across the lane,high
garbage,main_road,6,Scattered trash on street after collection missed. urgent,high
drainage,highway,14,Drainage blocked with garbage and leaves,high
drainage,alley,9,"Open drainage cover, dangerous for pedestrians",high
garbage,alley,11,Illegal dumping near drainage,high
streetlight,alley,2,Light out on the main road intersection. needs quick fix,low
streetlight,main_road,1,Pole lamp broken and leaning. urgent,low
drainage,main_road,9,"Drain clogged, water overflowing onto road. not urgent",high
drainage,residential,11,"Open drainage cover, dangerous for pedestrians. causing accidents",high
streetlight,residential,32,Light out on the main road intersection,medium
garbage,alley,3,"Garbage dumped near sidewalk, attracting animals",medium
drainage,alley,3,"Open drainage cover, dangerous for pedestrians",medium
pothole,highway,10,"Large pothole on the road, car damage likely",high
pothole,alley,2,Deep pothole causing vibration to vehicles,low
drainage,highway,18,"Open drainage cover, dangerous for pedestrians",high
garbage,alley,13,"Overflowing garbage bin, foul smell. not urgent please fix soon",high
streetlight,highway,3,"Streetlight intermittent, safety concern",high
drainage,highway,9,"Drain clogged, water overflowing onto road",high
streetlight,residential,9,Pole lamp broken and leaning. not urgent,medium
garbage,main_road,0,"Garbage dumped near sidewalk, attracting animals. immediate attention needed",low
pothole,highway,16,"Pothole filled with water, hidden hazard. needs quick fix urgent",high
drainage,highway,4,Drainage blocked with garbage and leaves,high
streetlight,highway,12,"Streetlight intermittent, safety concern",high
garbage,residential,2,"Overflowing garbage bin, foul smell",high
streetlight,highway,15,"Flickering streetlight, sparks visible",high
drainage,main_road,3,Drainage blocked with garbage and leaves,medium
drainage,alley,0,Sewage backup overflowing onto street. hazardous,high
pothole,residential,16,"Large pothole on the road, car damage likely. causing accidents",high
streetlight,alley,0,Pole lamp broken and leaning. please fix soon,low
garbage,alley,2,"Garbage dumped near sidewalk, attracting animals. not urgent",low
garbage,highway,20,Illegal dumping near drainage. causing accidents,high
pothole,residential,21,Deep pothole causing vibration to vehicles. hazardous,high
streetlight,residential,5,"Streetlight not working at night, area dark. please fix soon",medium
streetlight,highway,6,"Flickering streetlight, sparks visible. not urgent",high
garbage,highway,4,"Overflowing garbage bin, foul smell. immediate attention needed",high
streetlight,alley,2,"Streetlight not working at night, area dark. not urgent",low
drainage,main_road,2,Drainage blocked with garbage and leaves. please fix soon,low
garbage,main_road,7,"Overflowing garbage bin, foul smell. please fix soon",high
garbage,highway,9,Scattered trash on street after collection missed. causing accidents,high
garbage,main_road,10,Pile of household waste blocking pedestrian path. please fix soon not urgent,high
streetlight,alley,10,Pole lamp broken and leaning,medium
drainage,residential,0,Standing water near drain after rain,low
garbage,residential,4,"Garbage dumped near sidewalk, attracting animals",medium
streetlight,alley,0,"Streetlight intermittent, safety concern",low
streetlight,alley,5,Pole lamp broken and leaning. causing accidents,high
drainage,highway,4,Drainage blocked with garbage and leaves,high
streetlight,highway,15,Light out on the main road intersection. please fix soon,high
drainage,residential,3,"Open drainage cover, dangerous for pedestrians",medium
pothole,alley,0,Multiple potholes across the lane,low
garbage,highway,1,Scattered trash on street after collection missed,low
pothole,highway,10,Deep pothole causing vibration to vehicles,high
pothole,alley,6,Small pothole near the curb,medium
pothole,highway,0,Small pothole near the curb. causing accidents,high
garbage,alley,0,Illegal dumping near drainage,low
pothole,alley,8,"Large pothole on the road, car damage likely. immediate attention needed hazardous",high
streetlight,residential,0,Pole lamp broken and leaning,low
garbage,residential,12,Pile of household waste blocking pedestrian path. needs quick fix,high
streetlight,highway,8,"Streetlight not working at night, area dark. low priority",high
drainage,main_road,0,Sewage backup overflowing onto street. hazardous,high
garbage,alley,0,"Garbage dumped near sidewalk, attracting animals",low
drainage,alley,30,Drainage blocked with garbage and leaves. causing accidents,high
garbage,alley,3,"Overflowing garbage bin, foul smell",high
pothole,highway,3,Multiple potholes across the lane. low priority,medium
pothole,residential,11,"Pothole filled with water, hidden hazard",high
garbage,alley,20,Illegal dumping near drainage. low priority,high
drainage,residential,29,Sewage backup overflowing onto street,high
streetlight,highway,9,"Flickering streetlight, sparks visible. hazardous",high
drainage,alley,3,Drainage blocked with garbage and leaves,medium
garbage,main_road,0,Pile of household waste blocking pedestrian path,high
drainage,main_road,10,Drainage blocked with garbage and leaves. hazardous,high
garbage,highway,5,Scattered trash on street after collection missed,medium
drainage,alley,3,Sewage backup overflowing onto street,high
garbage,alley,16,Pile of household waste blocking pedestrian path. urgent,high
drainage,residential,0,"Drain clogged, water overflowing onto road. please fix soon",high
garbage,alley,4,Illegal dumping near drainage,medium
streetlight,residential,0,"Streetlight intermittent, safety concern. needs quick fix",low
drainage,alley,4,"Drain clogged, water overflowing onto road",high
drainage,residential,0,"Drain clogged, water overflowing onto road",high
pothole,alley,0,"Large pothole on the road, car damage likely",low
streetlight,alley,0,"Flickering streetlight, sparks visible",high
drainage,highway,7,Sewage backup overflowing onto street. please fix soon,high
drainage,residential,9,Standing water near drain after rain. please fix soon,high
pothole,main_road,6,"Pothole filled with water, hidden hazard",medium
drainage,main_road,22,"Open drainage cover, dangerous for pedestrians. low priority",high
garbage,alley,3,"Garbage dumped near sidewalk, attracting animals",medium
